datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RTO,RTO,RTO,RTO,79182.471,False
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RTO,RTO,RTO,RTO,77573.714,False
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RTO,RTO,RTO,RTO,76202.136,False
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RTO,RTO,RTO,RTO,75674.034,False
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,RTO,RTO,RTO,RTO,76238.041,False
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,RTO,RTO,RTO,RTO,77617.494,False
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,RTO,RTO,RTO,RTO,79763.804,False
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,RTO,RTO,RTO,RTO,81592.494,False
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,RTO,RTO,RTO,RTO,82191.997,False
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,RTO,RTO,RTO,RTO,82691.486,False
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,RTO,RTO,RTO,RTO,82745.929,False
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RTO,RTO,RTO,RTO,82400.777,False
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RTO,RTO,RTO,RTO,81730.523,False
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RTO,RTO,RTO,RTO,80568.113,False
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RTO,RTO,RTO,RTO,79786.534,False
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RTO,RTO,RTO,RTO,80209.344,False
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RTO,RTO,RTO,RTO,83127.511,False
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RTO,RTO,RTO,RTO,89868.573,False
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RTO,RTO,RTO,RTO,92262.545,False
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RTO,RTO,RTO,RTO,92455.101,False
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RTO,RTO,RTO,RTO,91772.866,False
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RTO,RTO,RTO,RTO,89865.109,False
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RTO,RTO,RTO,RTO,86510.515,False
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RTO,RTO,RTO,RTO,83224.544,False
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RTO,RTO,RTO,RTO,80958.197,False
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RTO,RTO,RTO,RTO,79961.838,False
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RTO,RTO,RTO,RTO,79852.338,False
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RTO,RTO,RTO,RTO,80492.294,False
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RTO,RTO,RTO,RTO,82951.122,False
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RTO,RTO,RTO,RTO,88008.717,False
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RTO,RTO,RTO,RTO,95329.766,False
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RTO,RTO,RTO,RTO,100368.142,False
